rollout/ep_len_mean,time/iterations,time/time_elapsed,train/policy_loss,time/fps,train/n_updates,rollout/ep_rew_mean,time/total_timesteps,train/explained_variance,train/learning_rate,train/value_loss,train/entropy_loss
49.470588235294116,100,0,2.621586322784424,1428,99,49.470588235294116,1000,0.05393725633621216,0.0007,27.377038955688477,-0.6494067907333374
71.81481481481481,200,1,2.435526132583618,1470,199,71.81481481481481,2000,-0.020827054977416992,0.0007,25.507055282592773,-0.5919147729873657
85.875,300,2,2.3159406185150146,1487,299,85.875,3000,0.005353569984436035,0.0007,21.208850860595703,-0.5870973467826843
108.63888888888889,400,2,2.1448681354522705,1464,399,108.63888888888889,4000,0.014294743537902832,0.0007,18.115253448486328,-0.5934049487113953
