time/fps,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,time/time_elapsed,train/entropy_loss,time/iterations,train/policy_loss,train/value_loss,train/explained_variance
86,0.972972972972973,1399,188.8783783783784,14000,0.0007,161,-0.1966627538204193,1400,4.7176831330375535e-09,5.281824714468801e-14,0.0
86,0.9230769230769231,1499,191.6153846153846,15000,0.0007,173,-0.19666454195976257,1500,-6.261151153097444e-09,6.295654542663471e-15,0.0
85,0.8780487804878049,1599,193.4878048780488,16000,0.0007,186,-0.19666500389575958,1600,-8.494478009879458e-08,8.727309951377538e-15,0.0
85,0.8604651162790697,1699,196.3372093023256,17000,0.0007,199,-0.07956849038600922,1700,-1.2576244898809819e-06,1.0132026773135294e-08,0.0
84,0.8505747126436781,1799,205.44827586206895,18000,0.0007,212,-0.07959074527025223,1800,-1.7318042555558577e-09,2.231292136733315e-14,1.1920928955078125e-07
84,0.8314606741573034,1899,210.53932584269663,19000,0.0007,224,-0.07959111034870148,1900,-1.6507243350005751e-09,6.128970317105086e-15,0.0
84,0.8131868131868132,1999,219.58241758241758,20000,0.0007,236,-0.07959193736314774,2000,-2.1613686396193543e-09,9.951412659409478e-14,1.1920928955078125e-07
84,0.8043478260869565,2099,223.6195652173913,21000,0.0007,249,-0.0795941948890686,2100,-1.0135508432540519e-08,1.0912302962282072e-12,0.0
83,0.7789473684210526,2199,230.76842105263157,22000,0.0007,262,-0.09377992898225784,2200,-2.679169028851902e-06,2.9696902714704265e-08,0.0
83,0.7708333333333334,2299,233.41666666666666,23000,0.0007,274,-0.09399271011352539,2300,-1.418934232333413e-07,8.393289535613135e-11,1.1920928955078125e-07
84,0.7551020408163265,2399,242.41836734693877,24000,0.0007,285,-0.046127621084451675,2400,4.0522590838421024e-10,8.36424876029477e-15,5.960464477539063e-08
84,0.7676767676767676,2499,251.67676767676767,25000,0.0007,296,-0.01968100480735302,2500,-2.75379011327459e-06,1.4419790659303544e-06,0.0
84,0.7676767676767676,2599,251.67676767676767,26000,0.0007,308,-0.019738251343369484,2600,-4.754124316441732e-10,1.7657238654067778e-14,1.1920928955078125e-07
84,0.76,2699,268.51,27000,0.0007,319,-0.019738228991627693,2700,-3.0837530879540553e-12,1.5533388242122345e-14,0.0
84,0.76,2799,268.51,28000,0.0007,330,-0.01973816566169262,2800,-7.606576479801674e-11,3.762508069725867e-15,1.1920928955078125e-07
84,0.76,2899,282.67,29000,0.0007,341,-0.019737590104341507,2900,-1.7217670345015534e-10,2.5605596354843054e-15,0.0
84,0.76,2999,282.67,30000,0.0007,352,-0.019769849255681038,3000,9.501847557658039e-07,1.6995355167637172e-07,1.1920928955078125e-07
85,0.76,3099,298.53,31000,0.0007,364,-0.014450302347540855,3100,7.680378075747285e-07,2.334725479613553e-07,0.0
85,0.76,3199,298.53,32000,0.0007,375,-0.016682183369994164,3200,1.1406095836719032e-06,3.6559575278261036e-07,0.0
85,0.76,3299,325.49,33000,0.0007,386,-0.015377240255475044,3300,2.7978259822702967e-05,0.00026791414711624384,-1.1920928955078125e-07
85,0.76,3399,325.49,34000,0.0007,397,-0.014894832856953144,3400,1.1282772632847937e-10,1.0062013435925793e-15,1.1920928955078125e-07
85,0.76,3499,325.49,35000,0.0007,408,-0.014906691387295723,3500,8.180430199900002e-07,2.460669179527031e-07,0.0
85,0.76,3599,325.49,36000,0.0007,420,-0.015265626832842827,3600,8.694470352565986e-07,2.627550088618591e-07,0.0
85,0.76,3699,325.49,37000,0.0007,431,-0.010768844746053219,3700,6.472256330880555e-08,3.303045614799771e-09,0.0
85,0.75,3799,365.92,38000,0.0007,442,-0.008725880645215511,3800,-6.58739104930639e-11,2.1656286180028565e-15,0.0
85,0.75,3899,365.92,39000,0.0007,453,-0.008722199127078056,3900,-2.2583833469980163e-08,6.528076412770645e-10,1.1920928955078125e-07
86,0.75,3999,365.92,40000,0.0007,464,-0.008718127384781837,4000,-2.7117058820635975e-08,9.486142982240153e-10,0.0
86,0.75,4099,365.92,41000,0.0007,475,-0.007027714513242245,4100,-8.435248446403421e-07,1.4972554254200077e-06,0.0
86,0.75,4199,365.92,42000,0.0007,487,-0.008560962975025177,4200,-1.837345507738064e-06,4.511192855716217e-06,-1.1920928955078125e-07
86,0.75,4299,365.92,43000,0.0007,498,-0.00856096763163805,4300,-1.3450832057060325e-06,2.417452606096049e-06,-1.1920928955078125e-07
86,0.75,4399,430.35,44000,0.0007,509,-0.010210840962827206,4400,7.701584162078667e-12,2.9648551315932426e-16,-1.1920928955078125e-07
86,0.75,4499,430.35,45000,0.0007,520,-0.010210825130343437,4500,-8.048749999822746e-10,7.715775717995199e-13,0.0
86,0.75,4599,430.35,46000,0.0007,532,-0.010181053541600704,4600,-7.327966500270122e-07,4.801831323675287e-07,0.0
86,0.75,4699,430.35,47000,0.0007,543,-0.011000261642038822,4700,-2.092439927992018e-07,3.297187944895086e-08,0.0
86,0.75,4799,430.35,48000,0.0007,554,-0.011754991486668587,4800,-5.700757128579426e-07,2.1112393255862116e-07,-1.1920928955078125e-07
86,0.75,4899,430.35,49000,0.0007,566,-0.009666514582931995,4900,-6.577004114660667e-07,4.4188337255945953e-07,5.960464477539063e-08
86,0.75,4999,430.35,50000,0.0007,577,-0.007512967102229595,5000,-7.033384008536814e-07,8.854070756569854e-07,0.0
86,0.75,5099,430.35,51000,0.0007,588,-0.007503229193389416,5100,-9.411573955731001e-07,1.5907082797639305e-06,0.0
86,0.75,5199,430.35,52000,0.0007,600,-0.00749582052230835,5200,-9.403364629179123e-07,1.591492946317885e-06,0.0
86,0.75,5299,430.35,53000,0.0007,611,-0.00804655347019434,5300,-9.060310617314826e-07,1.2619874496522243e-06,1.1920928955078125e-07
86,0.75,5399,430.35,54000,0.0007,623,-0.008037718944251537,5400,-8.742646855353087e-07,1.177573949462385e-06,2.384185791015625e-07
86,0.75,5499,430.35,55000,0.0007,634,-0.008662411943078041,5500,-9.827738267631503e-07,1.2608509223355213e-06,0.0
86,0.75,5599,430.35,56000,0.0007,645,-0.00586871150881052,5600,-8.761926080513849e-12,2.4899113702109028e-15,0.0
86,0.75,5699,430.35,57000,0.0007,657,-0.005868669133633375,5700,9.788374277786005e-11,1.0319028007836455e-14,-1.1920928955078125e-07
86,0.75,5799,430.35,58000,0.0007,668,-0.005869005341082811,5800,-1.5646364412424951e-12,9.075472309374137e-17,-1.1920928955078125e-07
86,0.75,5899,430.35,59000,0.0007,680,-0.005878778174519539,5900,5.474872750710347e-07,9.504228728474118e-07,0.0
86,0.75,5999,430.35,60000,0.0007,691,-0.005304758902639151,6000,-4.6920440581743605e-06,8.499580872012302e-05,-1.1920928955078125e-07
86,0.75,6099,430.35,61000,0.0007,703,-0.0054611400701105595,6100,1.5521101764948142e-11,1.7074879785907923e-15,-1.1920928955078125e-07
86,0.75,6199,430.35,62000,0.0007,715,-0.0054611400701105595,6200,-1.5286058877017616e-11,3.454244404616294e-14,-1.1920928955078125e-07
86,0.75,6299,430.35,63000,0.0007,728,-0.005462943576276302,6300,5.714603096285131e-11,7.435861008962125e-14,-1.1920928955078125e-07
86,0.75,6399,430.35,64000,0.0007,740,-0.005462929606437683,6400,-6.326067447659511e-11,4.561560073353295e-14,-1.1920928955078125e-07
86,0.75,6499,430.35,65000,0.0007,753,-0.005473264493048191,6500,8.718566979482034e-10,2.6685134137116595e-12,-48.44773483276367
86,0.75,6599,430.35,66000,0.0007,765,-0.0054946462623775005,6600,3.7801038388352026e-07,5.08436471591267e-07,0.0
