rollout/ep_rew_mean,train/entropy_loss,time/iterations,time/total_timesteps,time/time_elapsed,train/explained_variance,train/n_updates,train/policy_loss,time/fps,train/value_loss,train/learning_rate,rollout/ep_len_mean
246.25,-0.5784174203872681,3900,39000,29,-0.04808485507965088,3899,0.0034625499974936247,1314,4.905230161966756e-05,0.0007,246.25
243.37,-0.5892410278320312,4000,40000,30,-0.06136906147003174,3999,0.0007152631878852844,1321,4.090595666639274e-06,0.0007,243.37
232.9,-0.6536321640014648,4100,41000,30,0.0006799101829528809,4099,0.00013751487131230533,1326,1.1008232547737862e-07,0.0007,232.9
228.44,-0.5557867884635925,4200,42000,31,0.42141997814178467,4199,0.0012986722867935896,1332,6.4574123825877905e-06,0.0007,228.44
231.27,-0.6099826097488403,4300,43000,32,9.08970832824707e-05,4299,0.002281478140503168,1339,3.5089400626020506e-05,0.0007,231.27
228.79,-0.5284031629562378,4400,44000,32,-0.5371779203414917,4399,0.0023486975114792585,1345,2.196630885009654e-05,0.0007,228.79
228.75,-0.6051331758499146,4500,45000,33,-2.624460458755493,4499,0.004575694911181927,1349,0.00022834395349491388,0.0007,228.75
229.26,-0.5069102644920349,4600,46000,33,-1.676088571548462,4599,0.00025115214521065354,1353,6.864470378786791e-06,0.0007,229.26
232.09,-0.3806455135345459,4700,47000,34,-0.09787464141845703,4699,0.0006324255955405533,1360,1.0908290732913883e-06,0.0007,232.09
231.76,-0.5098077058792114,4800,48000,35,-5.654024124145508,4799,0.0098127331584692,1365,0.00038790510734543204,0.0007,231.76
221.96,-0.5533648133277893,4900,49000,35,-5.14409065246582,4899,0.011274101212620735,1370,0.000541158311534673,0.0007,221.96
214.85,-0.6105480194091797,5000,50000,36,-3.7112512588500977,4999,0.0026190083008259535,1376,5.1550170610425994e-05,0.0007,214.85
210.21,-0.5707212686538696,5100,51000,36,0.23136204481124878,5099,0.00040179872303269804,1382,5.619193075290241e-07,0.0007,210.21
212.18,-0.6453790068626404,5200,52000,37,-1.6101691722869873,5199,0.0011020300444215536,1387,6.206828402355313e-06,0.0007,212.18
216.0,-0.6287693381309509,5300,53000,38,-1.1063697338104248,5299,0.00034967283136211336,1391,7.625494617968798e-07,0.0007,216.0
217.66,-0.5052956342697144,5400,54000,38,-0.02039170265197754,5399,0.00022795882250647992,1396,2.0936131761573051e-07,0.0007,217.66
214.55,-0.5199052691459656,5500,55000,39,-0.05229473114013672,5499,0.00026230013463646173,1402,2.761895245839696e-07,0.0007,214.55
208.67,-0.5445247292518616,5600,56000,39,-0.07793617248535156,5599,0.00010884979565162212,1408,3.787572566693598e-08,0.0007,208.67
207.52,-0.5550675988197327,5700,57000,40,-0.19706952571868896,5699,0.0007623221026733518,1414,2.8215115435159532e-06,0.0007,207.52
206.61,-0.6138293147087097,5800,58000,40,0.4341176152229309,5799,-1.2645541573874652e-05,1419,1.041917108146606e-09,0.0007,206.61
203.88,-0.39768415689468384,5900,59000,41,0.05981755256652832,5899,0.00011656689457595348,1423,4.954053878236664e-08,0.0007,203.88
203.8,-0.5639979839324951,6000,60000,42,-0.04084885120391846,5999,0.00031330835190601647,1427,4.922097787130042e-07,0.0007,203.8
207.44,-0.5183285474777222,6100,61000,42,-0.7203754186630249,6099,0.002337354002520442,1432,1.366396918456303e-05,0.0007,207.44
212.43,-0.5971746444702148,6200,62000,43,-2.966174840927124,6199,0.0001720449363347143,1435,2.4093895945043187e-07,0.0007,212.43
217.92,-0.5235303640365601,6300,63000,43,-0.12499487400054932,6299,0.0028711925260722637,1437,5.11191610712558e-05,0.0007,217.92
215.06,-0.43384677171707153,6400,64000,44,-0.01883542537689209,6399,0.00029321323381736875,1441,2.471846585194726e-07,0.0007,215.06
205.31,-0.5225107669830322,6500,65000,44,-0.1079704761505127,6499,0.005020436365157366,1445,0.00015071037341840565,0.0007,205.31
196.9,-0.5298943519592285,6600,66000,45,-0.0035861730575561523,6599,0.0012925410410389304,1448,9.404076081409585e-06,0.0007,196.9
191.05,-0.5691527724266052,6700,67000,46,-0.05550670623779297,6699,0.004260706715285778,1452,0.00010422929335618392,0.0007,191.05
192.87,-0.5140179991722107,6800,68000,46,7.033348083496094e-06,6799,0.002383491024374962,1457,2.5273615392507054e-05,0.0007,192.87
195.55,-0.5843106508255005,6900,69000,47,-0.08431148529052734,6899,0.0034459251910448074,1460,0.00011730747064575553,0.0007,195.55
197.42,-0.531965434551239,7000,70000,47,6.151199340820312e-05,6999,0.0007226462475955486,1464,1.6259494941550656e-06,0.0007,197.42
193.19,-0.44523707032203674,7100,71000,48,0.029398858547210693,7099,0.006416202522814274,1468,0.000121818229672499,0.0007,193.19
186.48,-0.47709688544273376,7200,72000,48,-3.4689903259277344e-05,7199,-28.023813247680664,1470,8149.48828125,0.0007,186.48
186.41,-0.5741902589797974,7300,73000,49,-0.018228650093078613,7299,0.0030677805189043283,1472,4.8449699534103274e-05,0.0007,186.41
185.97,-0.5421766042709351,7400,74000,50,4.178285598754883e-05,7399,0.000771912862546742,1475,2.419989414192969e-06,0.0007,185.97
184.47,-0.49220362305641174,7500,75000,50,-0.007825136184692383,7499,0.001337844179943204,1477,8.884427188604604e-06,0.0007,184.47
181.23,-0.5567388534545898,7600,76000,51,0.0002543330192565918,7599,0.0005036278162151575,1481,8.43743350742443e-07,0.0007,181.23
176.41,-0.597768247127533,7700,77000,51,-2.181529998779297e-05,7699,-30.437713623046875,1484,6462.88427734375,0.0007,176.41
165.92,-0.4287479817867279,7800,78000,52,-9.417533874511719e-06,7799,-12.42186450958252,1488,1940.452880859375,0.0007,165.92
156.75,-0.5286417007446289,7900,79000,52,-0.004288792610168457,7899,0.0013123142998665571,1492,7.2596653808432166e-06,0.0007,156.75
154.32,-0.5308619141578674,8000,80000,53,-0.03100442886352539,7999,0.002565787173807621,1495,2.81513093796093e-05,0.0007,154.32
156.03,-0.5257724523544312,8100,81000,54,1.1920928955078125e-05,8099,0.00211288477294147,1499,2.3490109015256166e-05,0.0007,156.03
155.98,-0.5667924284934998,8200,82000,54,0.0,8199,0.0009177072206512094,1503,4.032591732539004e-06,0.0007,155.98
155.26,-0.5501276850700378,8300,83000,55,-0.0024385452270507812,8299,0.0016233690548688173,1506,1.3898295947001316e-05,0.0007,155.26
156.64,-0.6120063662528992,8400,84000,55,9.530782699584961e-05,8399,0.000595593242906034,1509,1.918658426802722e-06,0.0007,156.64
156.97,-0.6262302994728088,8500,85000,56,5.936622619628906e-05,8499,0.00041493441676720977,1511,7.555703405159875e-07,0.0007,156.97
159.58,-0.2780364155769348,8600,86000,56,-0.015528440475463867,8599,0.007516821380704641,1513,8.286502270493656e-05,0.0007,159.58
162.3,-0.525562047958374,8700,87000,57,-0.1008915901184082,8699,5.640237213810906e-05,1516,2.1012965589761734e-08,0.0007,162.3
167.78,-0.5316857695579529,8800,88000,57,-0.005792975425720215,8799,0.001274638227187097,1518,9.3566832219949e-06,0.0007,167.78
169.55,-0.5962487459182739,8900,89000,58,-0.010360121726989746,8899,0.0018984798807650805,1520,3.157152605126612e-05,0.0007,169.55
170.24,-0.5919069647789001,9000,90000,59,1.341104507446289e-05,8999,0.00038139394018799067,1522,8.469913268527307e-07,0.0007,170.24
173.18,-0.5892454385757446,9100,91000,59,-0.024444580078125,9099,0.0002260175097035244,1524,2.9047950533822586e-07,0.0007,173.18
174.09,-0.5202279090881348,9200,92000,60,-7.867813110351562e-06,9199,-0.8927125930786133,1526,979.99169921875,0.0007,174.09
173.43,-0.5263778567314148,9300,93000,60,-0.0247269868850708,9299,0.003015620168298483,1529,4.099492070963606e-05,0.0007,173.43
170.42,-0.5738773941993713,9400,94000,61,1.5676021575927734e-05,9399,0.0005541496211662889,1531,2.8336885407043155e-06,0.0007,170.42
171.0,-0.5022712349891663,9500,95000,61,-0.003345966339111328,9499,0.0009086112258955836,1533,5.8797131714527495e-06,0.0007,171.0
169.52,-0.5540347099304199,9600,96000,62,2.2649765014648438e-06,9599,0.000474751548608765,1535,1.2023025419694022e-06,0.0007,169.52
171.59,-0.4813857078552246,9700,97000,63,0.00048279762268066406,9699,0.0002062005951302126,1536,2.1451269560657238e-07,0.0007,171.59
174.72,-0.5490923523902893,9800,98000,63,6.151199340820312e-05,9799,0.0005977786495350301,1538,1.6398146271967562e-06,0.0007,174.72
177.0,-0.5126613974571228,9900,99000,64,6.377696990966797e-06,9899,0.0013401566538959742,1540,6.9820089265704155e-06,0.0007,177.0
180.04,-0.5719216465950012,10000,100000,64,0.0005443096160888672,9999,0.00020047051657456905,1541,2.529413904994726e-07,0.0007,180.04
184.7,-0.506578266620636,10100,101000,65,-0.0066367387771606445,10099,0.002363146049901843,1544,2.900367326219566e-05,0.0007,184.7
190.36,-0.556327223777771,10200,102000,65,0.15736061334609985,10199,0.0004086068947799504,1545,5.593348646470986e-07,0.0007,190.36
196.53,-0.5901618003845215,10300,103000,66,nan,10299,5.59939110189589e-07,1546,5.820766091346741e-11,0.0007,196.53
203.26,-0.5347250699996948,10400,104000,67,-0.10167980194091797,10399,0.0005517085082828999,1548,1.3342884130906896e-06,0.0007,203.26
209.33,-0.4960717558860779,10500,105000,67,0.026845157146453857,10499,0.002203557174652815,1549,3.0811344913672656e-05,0.0007,209.33
214.33,-0.52947998046875,10600,106000,68,-0.0002332925796508789,10599,0.001608733437024057,1551,1.8827093299478292e-05,0.0007,214.33
219.15,-0.5251758098602295,10700,107000,68,-0.031201839447021484,10699,0.002340149600058794,1553,3.085313437622972e-05,0.0007,219.15
224.37,-0.5351539850234985,10800,108000,69,0.13641303777694702,10799,3.265316991019063e-05,1554,5.5122653108696795e-09,0.0007,224.37
228.08,-0.5632513165473938,10900,109000,70,-0.12470591068267822,10899,2.40686258621281e-05,1556,2.3923347747256685e-09,0.0007,228.08
227.75,-0.629172146320343,11000,110000,70,-0.00146484375,10999,0.0018790323520079255,1557,1.9814924598904327e-05,0.0007,227.75
229.2,-0.590987503528595,11100,111000,71,1.0,11099,-0.0,1559,5.8207661780829145e-12,0.0007,229.2
236.03,-0.5868477821350098,11200,112000,71,-55.96738815307617,11199,0.00011689821258187294,1561,6.106565564323319e-08,0.0007,236.03
240.42,-0.6126729249954224,11300,113000,72,0.029411792755126953,11299,2.128143751178868e-05,1563,2.240994945168495e-09,0.0007,240.42
243.96,-0.5796500444412231,11400,114000,72,6.151199340820312e-05,11399,0.0004172293993178755,1564,1.6398146271967562e-06,0.0007,243.96
245.77,-0.45536723732948303,11500,115000,73,-0.007838845252990723,11499,0.004126560874283314,1566,7.523556269006804e-05,0.0007,245.77
247.21,-0.6210021376609802,11600,116000,73,0.00014859437942504883,11599,5.7227269280701876e-05,1568,1.900480128824711e-08,0.0007,247.21
250.57,-0.5179038643836975,11700,117000,74,-0.00904703140258789,11699,0.0005443994305096567,1570,8.485570788252517e-07,0.0007,250.57
253.62,-0.4723304212093353,11800,118000,75,-0.02956974506378174,11799,0.000417804520111531,1571,6.921938506820879e-07,0.0007,253.62
259.18,-0.4572068154811859,11900,119000,75,1.0,11899,-0.0,1572,0.0,0.0007,259.18
265.3,-0.5691024661064148,12000,120000,76,0.9100000113248825,11999,1.6618238873888913e-07,1574,5.8207661780829145e-12,0.0007,265.3
271.69,-0.5327774286270142,12100,121000,76,nan,12099,-0.0,1575,0.0,0.0007,271.69
278.21,-0.2388913631439209,12200,122000,77,nan,12199,-0.0,1576,0.0,0.0007,278.21
284.84,-0.5301443338394165,12300,123000,77,nan,12299,-0.0,1578,0.0,0.0007,284.84
291.43,-0.5624310970306396,12400,124000,78,0.36000001430511475,12399,-1.7844726016846835e-06,1578,5.820766091346741e-11,0.0007,291.43
297.66,-0.5527322292327881,12500,125000,79,0.9100000113248825,12499,2.3246954583555635e-07,1580,5.8207661780829145e-12,0.0007,297.66
304.31,-0.33621081709861755,12600,126000,79,nan,12599,2.770372553584366e-08,1581,3.4924597935859225e-11,0.0007,304.31
311.41,-0.5810948610305786,12700,127000,80,0.8400000035762787,12699,1.7586378930900537e-07,1583,1.1641532182693481e-10,0.0007,311.41
318.15,-0.5479629039764404,12800,128000,80,0.0,12799,-0.00034754490479826927,1584,6.75482453971199e-07,0.0007,318.15
324.54,-0.6596486568450928,12900,129000,81,-0.0012054443359375,12899,0.0010781706077978015,1585,5.903473265789216e-06,0.0007,324.54
330.34,-0.6164294481277466,13000,130000,81,nan,12999,5.8278683354728855e-06,1587,1.979060526569043e-10,0.0007,330.34
335.79,-0.5058034658432007,13100,131000,82,-0.36000001430511475,13099,1.0226357289866428e-06,1588,9.313225884932663e-11,0.0007,335.79
341.58,-0.5659837126731873,13200,132000,83,0.550000011920929,13199,-1.8355154907112592e-06,1590,5.820766091346741e-11,0.0007,341.58
347.83,-0.5767788887023926,13300,133000,83,nan,13299,3.0069827516854275e-07,1591,5.8207661780829145e-12,0.0007,347.83
354.1,-0.6006398797035217,13400,134000,84,-0.01222383975982666,13399,-0.0004320208390709013,1593,1.1301017366349697e-06,0.0007,354.1
360.94,-0.5318626165390015,13500,135000,84,-0.004097104072570801,13499,0.0008377547492273152,1594,2.70767486654222e-06,0.0007,360.94
367.45,-0.5353761911392212,13600,136000,85,2.2649765014648438e-06,13599,0.000551062636077404,1594,1.1928320873266784e-06,0.0007,367.45
375.93,-0.6057049632072449,13700,137000,85,nan,13699,-0.0,1595,0.0,0.0007,375.93
376.88,-0.5932596921920776,13800,138000,86,nan,13799,-0.0,1595,0.0,0.0007,376.88
381.22,-0.5360785722732544,13900,139000,87,3.695487976074219e-05,13899,0.00020898913498967886,1596,3.0279625207185745e-07,0.0007,381.22
380.52,-0.6022895574569702,14000,140000,87,-0.0014994144439697266,13999,0.0009811943164095283,1596,5.659047928929795e-06,0.0007,380.52
372.75,-0.5215617418289185,14100,141000,88,0.00018835067749023438,14099,0.0005910649197176099,1596,2.142635594282183e-06,0.0007,372.75
363.49,-0.3822314441204071,14200,142000,88,-0.010386466979980469,14199,0.007423286326229572,1597,0.00016181936371140182,0.0007,363.49
350.87,-0.5738747715950012,14300,143000,89,1.9669532775878906e-06,14299,0.0009972561383619905,1597,5.813210918859113e-06,0.0007,350.87
339.34,-0.49373286962509155,14400,144000,90,7.88569450378418e-05,14399,0.0008785467362031341,1598,2.2801336854172405e-06,0.0007,339.34
316.31,-0.5588241815567017,14500,145000,90,5.960464477539062e-07,14499,0.001762639032676816,1599,1.659008012211416e-05,0.0007,316.31
301.62,-0.5119060277938843,14600,146000,91,8.344650268554688e-07,14599,0.0028655168134719133,1600,5.291630077408627e-05,0.0007,301.62
290.85,-0.5150247812271118,14700,147000,91,2.9802322387695312e-06,14699,0.002606568392366171,1601,3.485482739051804e-05,0.0007,290.85
272.23,-0.5612173676490784,14800,148000,92,7.748603820800781e-07,14799,0.0010617016814649105,1601,3.54620851794607e-06,0.0007,272.23
256.65,-0.5339181423187256,14900,149000,92,1.9073486328125e-06,14899,0.0007298131822608411,1602,1.5259662404787377e-06,0.0007,256.65
237.22,-0.5924195647239685,15000,150000,93,2.384185791015625e-06,14999,0.0010753709357231855,1603,4.644622094929218e-06,0.0007,237.22
212.96,-0.5627401471138,15100,151000,94,-0.0026595592498779297,15099,0.002836305648088455,1603,3.223847670597024e-05,0.0007,212.96
187.64,-0.5259082913398743,15200,152000,94,7.808208465576172e-06,15199,0.0020577535033226013,1604,1.3056164789304603e-05,0.0007,187.64
164.06,-0.5655282735824585,15300,153000,95,-0.010336875915527344,15299,0.004068494774401188,1605,6.237928027985618e-05,0.0007,164.06
154.35,-0.5417054295539856,15400,154000,95,4.76837158203125e-06,15399,0.0014979809056967497,1607,9.358086572319735e-06,0.0007,154.35
143.47,-0.5867979526519775,15500,155000,96,5.0067901611328125e-06,15499,0.0006911200471222401,1607,2.2801336854172405e-06,0.0007,143.47
142.24,-0.5420939326286316,15600,156000,96,-0.004324197769165039,15599,0.0007383712800219655,1609,5.258852525003022e-06,0.0007,142.24
144.95,-0.4995120167732239,15700,157000,97,-0.0004703998565673828,15699,0.002091196831315756,1610,1.4443648979067802e-05,0.0007,144.95
147.34,-0.5776973962783813,15800,158000,98,-0.0027619600296020508,15799,0.0013742160517722368,1611,9.998499081120826e-06,0.0007,147.34
149.53,-0.5873560905456543,15900,159000,98,-0.004939079284667969,15899,0.002776746405288577,1612,7.065509998938069e-05,0.0007,149.53
152.39,-0.47910699248313904,16000,160000,99,5.960464477539063e-08,15999,0.0029866492841392756,1613,2.4930626750574447e-05,0.0007,152.39
154.26,-0.4848681390285492,16100,161000,99,5.245208740234375e-06,16099,0.0024074779357761145,1614,1.9356340999365784e-05,0.0007,154.26
155.4,-0.4861598610877991,16200,162000,100,-0.013146162033081055,16199,0.004064586479216814,1615,5.082981078885496e-05,0.0007,155.4
155.41,-0.5649186372756958,16300,163000,100,6.020069122314453e-06,16299,0.0018893427914008498,1616,1.699961103440728e-05,0.0007,155.41
153.74,-0.49578285217285156,16400,164000,101,1.7285346984863281e-06,16399,0.0013379169395193458,1618,6.564374871231848e-06,0.0007,153.74
155.18,-0.4580436646938324,16500,165000,101,0.00010198354721069336,16499,0.0007305939216166735,1619,1.742766471579671e-06,0.0007,155.18
155.95,-0.559826672077179,16600,166000,102,-0.001220703125,16599,0.0034958296455442905,1620,6.567095988430083e-05,0.0007,155.95
159.16,-0.5947559475898743,16700,167000,103,0.003750920295715332,16699,0.00014100261614657938,1621,7.50645980929221e-08,0.0007,159.16
162.99,-0.4400412440299988,16800,168000,103,0.0004470348358154297,16799,0.0024091477971524,1621,1.4817487681284547e-05,0.0007,162.99
164.05,-0.5573341250419617,16900,169000,104,8.940696716308594e-07,16899,0.0007699051639065146,1622,3.0231835808081087e-06,0.0007,164.05
166.13,-0.5208085775375366,17000,170000,104,-3.6716461181640625e-05,16999,0.0008328797412104905,1623,6.046111138857668e-06,0.0007,166.13
169.16,-0.5827820301055908,17100,171000,105,-0.0028535127639770508,17099,0.0032554734498262405,1624,9.797052189242095e-05,0.0007,169.16
171.66,-0.6040669679641724,17200,172000,105,2.2649765014648438e-06,17199,0.0009949301602318883,1625,5.0449571062927134e-06,0.0007,171.66
173.6,-0.5025734305381775,17300,173000,106,2.378225326538086e-05,17299,0.0004280005523469299,1626,4.6389760655074497e-07,0.0007,173.6
175.71,-0.6181540489196777,17400,174000,106,0.00010013580322265625,17399,0.00042699259938672185,1627,1.0239833727609948e-06,0.0007,175.71
175.67,-0.5673829913139343,17500,175000,107,-0.00045990943908691406,17499,0.002658763201907277,1628,4.719038770417683e-05,0.0007,175.67
178.59,-0.4895142614841461,17600,176000,107,-0.0009353160858154297,17599,0.0036568890791386366,1630,3.0033179427846335e-05,0.0007,178.59
181.61,-0.4234575629234314,17700,177000,108,0.003033280372619629,17699,0.003356103552505374,1630,7.240691047627479e-05,0.0007,181.61
184.06,-0.5952481031417847,17800,178000,109,0.029411792755126953,17799,2.2409867597161792e-05,1631,2.270098775625229e-09,0.0007,184.06
188.87,-0.5565423369407654,17900,179000,109,0.00019091367721557617,17899,0.00021241410286165774,1632,1.417472930143049e-07,0.0007,188.87
194.56,-0.5572699308395386,18000,180000,110,9.000301361083984e-06,17999,0.0013360532466322184,1632,7.759733307466377e-06,0.0007,194.56
199.97,-0.49494943022727966,18100,181000,110,3.516674041748047e-06,18099,0.002103797858580947,1633,1.3057998330623377e-05,0.0007,199.97
202.78,-0.5721651315689087,18200,182000,111,0.000571131706237793,18199,0.005442135035991669,1633,0.00014229444786906242,0.0007,202.78
206.34,-0.5359785556793213,18300,183000,111,-2.86102294921875e-06,18299,-42.627960205078125,1634,7315.515625,0.0007,206.34
210.39,-0.5207701921463013,18400,184000,112,-0.007051229476928711,18399,0.0035315710119903088,1635,4.737189010484144e-05,0.0007,210.39
213.2,-0.589382529258728,18500,185000,113,0.0,18499,9.684335964266211e-05,1635,7.232883802998913e-08,0.0007,213.2
218.93,-0.4935484528541565,18600,186000,113,-0.008268475532531738,18599,0.004535340704023838,1636,5.531462375074625e-05,0.0007,218.93
221.11,-0.582024872303009,18700,187000,114,0.016610145568847656,18699,5.1248840463813394e-05,1636,8.352799341082573e-09,0.0007,221.11
223.74,-0.5372997522354126,18800,188000,114,1.6510486602783203e-05,18799,0.0002232400729553774,1637,1.6465783403418754e-07,0.0007,223.74
229.4,-0.4833291172981262,18900,189000,115,0.024810969829559326,18899,0.0008886371506378055,1638,2.332316853426164e-06,0.0007,229.4
233.98,-0.5354939699172974,19000,190000,115,nan,18999,-0.0,1638,1.2805685678518586e-10,0.0007,233.98
239.86,-0.620972752571106,19100,191000,116,1.0,19099,-0.0,1639,4.6566129424663316e-11,0.0007,239.86
245.67,-0.5939465165138245,19200,192000,117,0.36000001430511475,19199,5.198979806664283e-07,1640,4.6566129424663316e-11,0.0007,245.67
250.57,-0.5837979316711426,19300,193000,117,0.011764764785766602,19299,-1.875859743449837e-05,1640,2.69501465588462e-09,0.0007,250.57
256.75,-0.4302988052368164,19400,194000,118,-0.007484793663024902,19399,-0.0018957204883918166,1641,8.088007234618999e-06,0.0007,256.75
263.56,-0.5188177227973938,19500,195000,118,-0.04697227478027344,19499,-0.0004024440422654152,1642,1.914746917464072e-06,0.0007,263.56
270.56,-0.5699590444564819,19600,196000,119,-0.0024858713150024414,19599,-0.00012432112998794764,1643,8.26606978421296e-08,0.0007,270.56
276.81,-0.40207791328430176,19700,197000,119,-0.23824691772460938,19699,-0.000418241776060313,1643,3.920111453226127e-07,0.0007,276.81
282.88,-0.6294342279434204,19800,198000,120,0.003374755382537842,19799,-0.0004196742083877325,1644,7.811060527274094e-07,0.0007,282.88
288.7,-0.5928739309310913,19900,199000,121,-0.11898303031921387,19899,4.3407653720350936e-05,1644,8.812639507027598e-09,0.0007,288.7
294.44,-0.5458434820175171,20000,200000,121,-0.0005873441696166992,19999,0.0015052190283313394,1644,1.174222597910557e-05,0.0007,294.44
300.13,-0.47332364320755005,20100,201000,122,0.00019091367721557617,20099,0.00014702821499668062,1645,1.3402896570369194e-07,0.0007,300.13
304.57,-0.5058318972587585,20200,202000,122,-1.7881393432617188e-06,20199,-11.763998031616211,1646,2882.16552734375,0.0007,304.57
305.2,-0.6222851872444153,20300,203000,123,0.00014859437942504883,20299,5.28449090779759e-05,1646,1.931330118054575e-08,0.0007,305.2
307.95,-0.5205674171447754,20400,204000,123,-0.007891178131103516,20399,0.00024743465473875403,1647,3.674591368962865e-07,0.0007,307.95
308.84,-0.47253936529159546,20500,205000,124,0.029411792755126953,20499,3.0104527468211018e-05,1647,2.240994945168495e-09,0.0007,308.84
311.64,-0.5899342894554138,20600,206000,124,nan,20599,-0.0,1648,0.0,0.0007,311.64
