time/total_timesteps,time/episodes,time/fps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/loss,train/n_updates
25,4,151,0,0.9998762499999997,,,,,
94,8,305,0,0.9995346999999998,256.0,1.0,,,
118,12,316,0,0.9994159000000002,285.0,1.5,,,
158,16,348,0,0.9992179,271.0,1.3333333333333333,,,
227,20,389,0,0.9988763500000001,292.75,1.75,,,
281,24,414,0,0.9986090500000001,292.75,1.75,,,
332,28,424,0,0.9983566,297.6,1.8,,,
356,32,421,0,0.9982377999999998,298.6666666666667,1.8333333333333333,,,
449,36,442,1,0.9977774499999998,294.57142857142856,1.7142857142857142,,,
493,40,448,1,0.9975596500000001,317.875,2.0,,,
553,44,459,1,0.9972626499999999,317.875,2.0,,,
579,48,455,1,0.99713395,318.55555555555554,2.0,,,
637,52,462,1,0.9968468500000001,312.5,1.9,,,
678,56,463,1,0.9966439000000002,313.1818181818182,1.9090909090909092,,,
703,60,460,1,0.9965201499999999,303.75,1.75,,,
744,64,462,1,0.9963172000000001,303.75,1.75,,,
790,68,460,1,0.9960895000000002,300.46153846153845,1.6923076923076923,,,
814,72,458,1,0.9959707000000001,300.2142857142857,1.7142857142857142,,,
841,76,455,1,0.9958370500000001,292.6,1.6,,,
893,80,456,1,0.9955796499999998,294.4375,1.625,,,
959,84,462,2,0.9952529499999998,294.4375,1.625,,,
1009,88,463,2,0.9950054499999998,299.0,1.7058823529411764,,,
1036,92,462,2,0.9948717999999999,299.27777777777777,1.7222222222222223,,,
1085,96,464,2,0.99462925,298.4736842105263,1.736842105263158,,,
1124,100,464,2,0.9944361999999999,295.6,1.7,,,
1163,104,466,2,0.9942431499999999,295.6,1.7,,,
1203,108,465,2,0.9940451500000003,293.4761904761905,1.6666666666666667,,,
1251,112,466,2,0.99380755,291.90909090909093,1.6363636363636365,,,
1276,116,464,2,0.9936837999999997,291.8695652173913,1.6521739130434783,,,
1298,120,462,2,0.9935748999999999,287.625,1.5833333333333333,,,
1345,124,464,2,0.9933422499999998,287.625,1.5833333333333333,,,
1368,128,463,2,0.9932283999999998,287.6,1.6,,,
1416,132,464,3,0.9929908000000002,284.53846153846155,1.5769230769230769,,,
1459,136,465,3,0.99277795,286.1111111111111,1.5925925925925926,,,
1501,140,465,3,0.9925700500000001,285.17857142857144,1.5714285714285714,,,
1526,144,465,3,0.9924462999999999,285.17857142857144,1.5714285714285714,,,
1563,148,465,3,0.9922631500000001,283.51724137931035,1.5517241379310345,,,
1595,152,464,3,0.99210475,280.6666666666667,1.5,,,
1651,156,466,3,0.9918275500000002,282.7096774193548,1.5483870967741935,,,
1721,160,468,3,0.9914810500000001,285.28125,1.59375,,,
1779,164,470,3,0.9911939500000001,285.28125,1.59375,,,
1821,168,469,3,0.9909860500000002,286.2121212121212,1.606060606060606,,,
1863,172,469,3,0.9907781500000002,287.7647058823529,1.6176470588235294,,,
1886,176,467,4,0.9906642999999997,285.0285714285714,1.5714285714285714,,,
1928,180,468,4,0.9904563999999998,284.4166666666667,1.5555555555555556,,,
1979,184,470,4,0.9902039500000003,284.4166666666667,1.5555555555555556,,,
2022,188,470,4,0.9899911000000001,284.5405405405405,1.5675675675675675,,,
2074,192,471,4,0.9897336999999999,283.89473684210526,1.5526315789473684,,,
2115,196,471,4,0.9895307500000001,285.6666666666667,1.5897435897435896,,,
2161,200,471,4,0.9893030500000002,285.625,1.6,,,
2244,204,474,4,0.9888921999999999,285.625,1.6,,,
2279,208,473,4,0.9887189499999999,289.219512195122,1.6585365853658536,,,
2336,212,474,4,0.9884368,290.95238095238096,1.6904761904761905,,,
2393,216,475,5,0.9881546500000001,291.5348837209302,1.697674418604651,,,
2418,220,473,5,0.9880308999999998,289.25,1.6590909090909092,,,
2452,224,474,5,0.9878625999999999,289.25,1.6590909090909092,,,
2494,228,474,5,0.9876547,289.55555555555554,1.6666666666666667,,,
2520,232,473,5,0.9875260000000001,287.8695652173913,1.6304347826086956,,,
2578,236,474,5,0.9872389000000001,288.4255319148936,1.6382978723404256,,,
2604,240,473,5,0.9871101999999997,286.5,1.6041666666666667,,,
2627,244,473,5,0.9869963499999997,286.5,1.6041666666666667,,,
2678,248,473,5,0.9867439000000002,286.61224489795916,1.6122448979591837,,,
2765,252,476,5,0.9863132499999999,284.78,1.58,,,
2788,256,475,5,0.9861994,287.80392156862746,1.6470588235294117,,,
2830,260,475,5,0.9859915,287.4230769230769,1.6346153846153846,,,
2867,264,475,6,0.9858083500000002,287.4230769230769,1.6346153846153846,,,
2939,268,477,6,0.9854519499999999,287.8301886792453,1.6415094339622642,,,
2989,272,477,6,0.9852044499999999,289.537037037037,1.6666666666666667,,,
3013,276,476,6,0.9850856499999998,288.7090909090909,1.6545454545454545,,,
3037,280,475,6,0.9849668500000002,286.7142857142857,1.625,,,
3089,284,475,6,0.98470945,286.7142857142857,1.625,,,
3130,288,475,6,0.9845065000000002,288.10526315789474,1.6491228070175439,,,
3212,292,476,6,0.9841006,287.63793103448273,1.6379310344827587,,,
3271,296,477,6,0.9838085499999999,291.1864406779661,1.694915254237288,,,
3297,300,476,6,0.98367985,289.56666666666666,1.6666666666666667,,,
3324,304,476,6,0.9835462,289.56666666666666,1.6666666666666667,,,
3371,308,475,7,0.98331355,288.8524590163934,1.6557377049180328,,,
3413,312,475,7,0.98310565,289.48387096774195,1.6612903225806452,,,
3462,316,476,7,0.9828631000000002,289.41269841269843,1.6666666666666667,,,
3531,320,477,7,0.9825215500000002,290.59375,1.6875,,,
